timestamp,a_right_backPose,b_right_backPose,c_right_backPose, ASSEMBLY2_BIMANUAL
1.645023064091768e+18,-6673.0,1122.0,-5476.0,1
1.6450230641392182e+18,-6061.0,834.0,-6017.0,1
1.6450230641910482e+18,-5688.0,1687.0,-5966.0,1
1.6450230642441068e+18,-6139.0,1949.0,-5765.0,1
1.6450230642911532e+18,-5655.0,1661.0,-5437.0,1
1.6450230643442258e+18,-5896.0,1580.0,-5505.0,1
1.6450230643910986e+18,-5728.0,1502.0,-5649.0,1
1.6450230644434045e+18,-5967.0,1410.0,-5581.0,1
1.6450230644905216e+18,-6468.0,1524.0,-5647.0,1
1.645023064545354e+18,-5922.0,1721.0,-5473.0,1
1.6450230645921196e+18,-5851.0,2048.0,-5225.0,1
1.6450230646438769e+18,-6061.0,2022.0,-5131.0,1
1.6450230646918298e+18,-6016.0,2081.0,-5084.0,1
1.6450230647448166e+18,-6186.0,2035.0,-4810.0,1
1.645023064792125e+18,-5804.0,2715.0,-5390.0,1
1.6450230648420984e+18,-6350.0,2983.0,-5173.0,1
1.6450230648920668e+18,-6257.0,2989.0,-4972.0,1
1.6450230649463406e+18,-6181.0,3100.0,-4753.0,1
1.6450230649928847e+18,-5976.0,3069.0,-4706.0,1
1.6450230650471508e+18,-5951.0,3158.0,-4355.0,1
1.6450230650927846e+18,-6422.0,3461.0,-4448.0,1
