timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose,File Name
1.646662445672455e+18,-4962.0,6956.0,-2309.0,frame_9060.jpeg
1.6466624457206254e+18,-4396.0,6821.0,-3338.0,frame_9061.jpeg
1.6466624457723215e+18,-3657.0,6205.0,-4709.0,frame_9062.jpeg
1.6466624458205012e+18,-3792.0,5841.0,-4800.0,frame_9063.jpeg
1.6466624458709235e+18,-3621.0,5563.0,-4384.0,frame_9064.jpeg
1.6466624459207713e+18,-3358.0,5570.0,-4322.0,frame_9065.jpeg
1.646662445972586e+18,-3604.0,5733.0,-4414.0,frame_9066.jpeg
1.646662446021378e+18,-3568.0,5883.0,-4685.0,frame_9067.jpeg
1.6466624460719706e+18,-3491.0,6288.0,-4531.0,frame_9068.jpeg
1.6466624461207258e+18,-3325.0,6562.0,-4250.0,frame_9069.jpeg
1.6466624461714788e+18,-3398.0,6260.0,-3515.0,frame_9070.jpeg
1.6466624462218214e+18,-3258.0,6590.0,-3135.0,frame_9071.jpeg
1.6466624462696212e+18,-3287.0,6764.0,-3116.0,frame_9072.jpeg
1.6466624463206994e+18,-3412.0,6974.0,-2644.0,frame_9073.jpeg
1.6466624463704876e+18,-3508.0,7178.0,-2544.0,frame_9074.jpeg
1.6466624464256466e+18,-3371.0,7256.0,-2508.0,frame_9075.jpeg
1.6466624464714227e+18,-3245.0,7133.0,-2180.0,frame_9076.jpeg
1.6466624465254784e+18,-3169.0,6918.0,-1783.0,frame_9077.jpeg
1.6466624465713871e+18,-2962.0,7005.0,-1651.0,frame_9078.jpeg
1.646662446620584e+18,-2974.0,7655.0,-1815.0,frame_9079.jpeg
1.6466624466718093e+18,-3152.0,8066.0,-1949.0,frame_9080.jpeg
1.6466624467261865e+18,-2889.0,8011.0,-2213.0,frame_9081.jpeg
1.6466624467704538e+18,-2429.0,7647.0,-2252.0,frame_9082.jpeg
1.6466624468257208e+18,-1880.0,7611.0,-2442.0,frame_9083.jpeg
1.6466624468683136e+18,-1329.0,8132.0,-2908.0,frame_9084.jpeg
1.6466624469255785e+18,-460.0,7759.0,-2926.0,frame_9085.jpeg
1.6466624469713953e+18,-264.0,7277.0,-2120.0,frame_9086.jpeg
1.6466624470235423e+18,-481.0,8094.0,-1258.0,frame_9087.jpeg
1.646662447072368e+18,-1440.0,6420.0,501.0,frame_9088.jpeg
1.6466624471264238e+18,-3252.0,6094.0,2346.0,frame_9089.jpeg
1.6466624471737275e+18,-4774.0,4802.0,3310.0,frame_9090.jpeg
1.6466624472269873e+18,-6855.0,3508.0,4006.0,frame_9091.jpeg
1.6466624472737244e+18,-7417.0,3890.0,3937.0,frame_9092.jpeg
1.6466624473257902e+18,-7194.0,3803.0,3591.0,frame_9093.jpeg
1.6466624473712957e+18,-6691.0,4419.0,4092.0,frame_9094.jpeg
1.6466624474249508e+18,-6267.0,3914.0,4270.0,frame_9095.jpeg
1.6466619966586752e+18,-5282.0,5486.0,2449.0,frame_91.jpeg
1.64666199670493e+18,-5258.0,5592.0,2484.0,frame_92.jpeg
1.6466619967578683e+18,-5199.0,5591.0,2520.0,frame_93.jpeg
1.6466619968093327e+18,-5207.0,5570.0,2623.0,frame_94.jpeg
1.6466619968586266e+18,-5176.0,5567.0,2659.0,frame_95.jpeg
1.6466624710531354e+18,-773.0,6431.0,5237.0,frame_9567.jpeg
1.646662471106849e+18,-777.0,6407.0,5165.0,frame_9568.jpeg
1.6466624711515067e+18,-892.0,6412.0,5261.0,frame_9569.jpeg
1.6466624712044938e+18,-881.0,6304.0,5221.0,frame_9570.jpeg
1.646662471250988e+18,-882.0,6473.0,5321.0,frame_9571.jpeg
1.646662471303994e+18,-1027.0,6337.0,5412.0,frame_9572.jpeg
1.6466624713533315e+18,-1059.0,6262.0,5279.0,frame_9573.jpeg
1.646662471403736e+18,-1153.0,6357.0,5237.0,frame_9574.jpeg
1.646662471453939e+18,-1293.0,6239.0,5361.0,frame_9575.jpeg
1.6466624715027863e+18,-1358.0,6116.0,5207.0,frame_9576.jpeg
1.6466624715574879e+18,-1373.0,6198.0,5172.0,frame_9577.jpeg
1.6466624716056067e+18,-1406.0,6256.0,5306.0,frame_9578.jpeg
1.6466624716527575e+18,-1402.0,6144.0,5298.0,frame_9579.jpeg
1.646662471702793e+18,-1436.0,6131.0,5322.0,frame_9580.jpeg
1.6466624717529797e+18,-1413.0,6102.0,5303.0,frame_9581.jpeg
1.646662471803591e+18,-1417.0,6168.0,5332.0,frame_9582.jpeg
