timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, ASSEMBLY1_BIMANUAL
1.6450229937018296e+18,4898.0,-6727.0,-815.0,1
1.64502299375645e+18,4682.0,-6824.0,-401.0,1
1.645022993803196e+18,4320.0,-6625.0,202.0,1
1.6450229938551939e+18,4352.0,-6411.0,-286.0,1
1.6450229939055373e+18,4110.0,-6691.0,277.0,1
1.64502299394897e+18,4196.0,-6921.0,-14.0,1
1.6450229940026637e+18,4259.0,-7041.0,76.0,1
1.6450229940525018e+18,4266.0,-7016.0,48.0,1
1.6450229941072689e+18,4245.0,-7035.0,-66.0,1
1.6450229941520927e+18,3932.0,-6821.0,161.0,1
1.6450229942033262e+18,3685.0,-6984.0,668.0,1
1.645022994255477e+18,3676.0,-7237.0,880.0,1
1.6450229943062592e+18,4071.0,-7008.0,377.0,1
1.6450229943560922e+18,3969.0,-7125.0,823.0,1
1.6450229944075325e+18,3972.0,-7133.0,565.0,1
1.645022994459146e+18,3803.0,-7485.0,656.0,1
1.6450229945047603e+18,3792.0,-7341.0,465.0,1
1.6450229945592724e+18,3592.0,-6634.0,881.0,1
1.6450229946032315e+18,3452.0,-6692.0,847.0,1
1.6450229946579226e+18,3530.0,-6926.0,1256.0,1
1.6450229947036306e+18,3472.0,-7033.0,1284.0,1
1.645022994757374e+18,3374.0,-6775.0,276.0,1
1.6450229948039324e+18,3369.0,-6729.0,-77.0,1
1.6450229948526725e+18,3305.0,-6795.0,-74.0,1
1.6450229948999283e+18,3191.0,-7192.0,-130.0,1
1.6450229949598241e+18,3212.0,-7426.0,264.0,1
1.64502299500164e+18,3088.0,-7606.0,541.0,1
1.6450229950523566e+18,3073.0,-7676.0,573.0,1
1.6450229951261588e+18,3064.0,-7688.0,568.0,1
1.6450229951721777e+18,3058.0,-7703.0,556.0,1
1.645022995220671e+18,3047.0,-7711.0,550.0,1
1.6450229952326282e+18,3032.0,-7729.0,539.0,1
1.6450229952975892e+18,3016.0,-7741.0,530.0,1
1.6450229953525942e+18,2994.0,-7754.0,519.0,1
1.6450229954573228e+18,2975.0,-7758.0,514.0,1
1.6450229954573228e+18,2975.0,-7758.0,514.0,1
