timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.6463875605641288e+18,3681.0,-7342.0,-3218.0,frame_1170.jpeg
1.6463875606101888e+18,3335.0,-6897.0,-3407.0,frame_1171.jpeg
1.646387560662535e+18,3233.0,-5872.0,-3795.0,frame_1172.jpeg
1.6463875607057441e+18,3222.0,-6010.0,-3652.0,frame_1173.jpeg
1.6463875607669396e+18,3241.0,-6286.0,-3582.0,frame_1174.jpeg
1.6463875608106289e+18,3192.0,-6564.0,-2962.0,frame_1175.jpeg
1.646387560860741e+18,3192.0,-6811.0,-2499.0,frame_1176.jpeg
1.6463875609140168e+18,3470.0,-6825.0,-2288.0,frame_1177.jpeg
1.6463875609629478e+18,3835.0,-6810.0,-2701.0,frame_1178.jpeg
1.646387561014443e+18,3904.0,-6745.0,-2848.0,frame_1179.jpeg
1.6463875078935178e+18,-7986.0,-1331.0,2450.0,frame_118.jpeg
1.646387561062469e+18,3821.0,-6671.0,-2944.0,frame_1180.jpeg
1.6463875611120333e+18,3707.0,-6741.0,-2944.0,frame_1181.jpeg
1.6463875611602478e+18,3508.0,-6734.0,-2682.0,frame_1182.jpeg
1.6463875612158618e+18,3447.0,-6784.0,-2591.0,frame_1183.jpeg
1.6463875612637432e+18,3448.0,-6809.0,-2375.0,frame_1184.jpeg
1.6463875613125635e+18,3473.0,-6893.0,-2327.0,frame_1185.jpeg
1.6463875613605665e+18,3398.0,-6876.0,-2337.0,frame_1186.jpeg
1.6463875614088494e+18,3418.0,-6905.0,-2435.0,frame_1187.jpeg
1.646387561462875e+18,3469.0,-6898.0,-2326.0,frame_1188.jpeg
1.6463875615129175e+18,3335.0,-6413.0,-2327.0,frame_1189.jpeg
1.6463875079453706e+18,-8014.0,-1350.0,2565.0,frame_119.jpeg
1.6463875615604534e+18,2872.0,-5734.0,-2460.0,frame_1190.jpeg
1.646387561611766e+18,2350.0,-5148.0,-2790.0,frame_1191.jpeg
1.646387561660207e+18,2616.0,-5446.0,-2753.0,frame_1192.jpeg
1.646387561714873e+18,3452.0,-6444.0,-3442.0,frame_1193.jpeg
1.6463875617617244e+18,3858.0,-6836.0,-3253.0,frame_1194.jpeg
1.646387561811844e+18,3076.0,-5047.0,-1633.0,frame_1195.jpeg
1.6463875618626665e+18,2038.0,-6239.0,-3654.0,frame_1196.jpeg
1.6463875619151734e+18,1152.0,-8608.0,-3932.0,frame_1197.jpeg
1.6463875619629128e+18,967.0,-7779.0,-4282.0,frame_1198.jpeg
1.6463875619763548e+18,843.0,-7414.0,-4241.0,frame_1199.jpeg
1.6463875079938496e+18,-8088.0,-1375.0,2665.0,frame_120.jpeg
1.646387562065778e+18,780.0,-7292.0,-4164.0,frame_1200.jpeg
1.6463875621137633e+18,-150.0,-6246.0,-2309.0,frame_1201.jpeg
1.646387562161494e+18,-1174.0,-7287.0,-2246.0,frame_1202.jpeg
1.646387562213473e+18,-1687.0,-8325.0,-2959.0,frame_1203.jpeg
1.6463875080448458e+18,-8070.0,-1403.0,2773.0,frame_121.jpeg
1.646387508093794e+18,-7995.0,-1237.0,2678.0,frame_122.jpeg
1.6463875081457265e+18,-7987.0,-1196.0,2384.0,frame_123.jpeg
1.6463875081937953e+18,-7974.0,-1284.0,2190.0,frame_124.jpeg
1.6463881259547192e+18,-2464.0,-6873.0,2186.0,frame_12464.jpeg
1.6463881260192284e+18,-2331.0,-6828.0,2073.0,frame_12465.jpeg
1.6463881260719593e+18,-383.0,-6233.0,2066.0,frame_12466.jpeg
1.6463881261180754e+18,300.0,-6942.0,2685.0,frame_12467.jpeg
1.6463881261723704e+18,533.0,-7021.0,3571.0,frame_12468.jpeg
