timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_LEFT
1.6449325016893617e+18,-265.0,8704.0,821.0,1
1.6449325016893617e+18,-265.0,8704.0,821.0,1
1.6449325017918702e+18,-382.0,8505.0,752.0,1
1.644932501818525e+18,-618.0,8430.0,735.0,1
1.6449325018801656e+18,-528.0,8404.0,730.0,1
1.644932501925857e+18,-479.0,8384.0,700.0,1
1.6449325019680986e+18,-892.0,8283.0,905.0,1
1.6449325020674683e+18,-577.0,8240.0,829.0,1
1.6449325020674683e+18,-577.0,8240.0,829.0,1
1.6449325021240294e+18,-969.0,8182.0,609.0,1
1.6449325021667814e+18,-951.0,8248.0,583.0,1
1.644932502251032e+18,-1021.0,7992.0,946.0,1
1.6449325022829197e+18,-1340.0,8243.0,1423.0,1
1.644932502336751e+18,-920.0,8252.0,1083.0,1
1.6449325023920118e+18,-1016.0,8086.0,978.0,1
1.6449325024384402e+18,-1209.0,8255.0,1037.0,1
1.6449325024778196e+18,-1219.0,8375.0,1050.0,1
1.644932502558771e+18,-1090.0,8128.0,1009.0,1
1.644932502587291e+18,-1091.0,8410.0,1206.0,1
1.644932502642248e+18,-1028.0,8242.0,935.0,1
1.6449325026861036e+18,-1133.0,8432.0,1093.0,1
1.64493250272234e+18,-1275.0,8296.0,1283.0,1
1.644932502781423e+18,-1098.0,8171.0,976.0,1
1.6449325028356063e+18,-1119.0,8315.0,1202.0,1
1.6449325028832932e+18,-1117.0,8081.0,1045.0,1
1.6449325029434813e+18,-1100.0,8096.0,1210.0,1
1.6449325029934454e+18,-1147.0,8125.0,1218.0,1
1.6449325030350574e+18,-1175.0,8394.0,1011.0,1
1.644932503084743e+18,-1091.0,8322.0,921.0,1
1.6449325031152666e+18,-1065.0,8205.0,967.0,1
1.644932503190491e+18,-1068.0,8177.0,991.0,1
1.6449325032309327e+18,-1077.0,8136.0,1007.0,1
1.6449325032309327e+18,-1077.0,8136.0,1007.0,1
1.644932503347839e+18,-1098.0,8093.0,1022.0,1
1.644932503405761e+18,-1129.0,8073.0,1094.0,1
1.644932503441526e+18,-1145.0,8092.0,1136.0,1
1.644932503441526e+18,-1145.0,8092.0,1136.0,1
1.6449325035383503e+18,-1172.0,8115.0,1167.0,1
1.6449325035888794e+18,-1329.0,8241.0,1372.0,1
1.644932503635524e+18,-1085.0,8359.0,1197.0,1
1.6449325036857388e+18,-1127.0,8177.0,1190.0,1
1.6449325037341988e+18,-1077.0,8292.0,1113.0,1
1.6449325037887084e+18,-1047.0,8281.0,1232.0,1
1.6449325038348326e+18,-1121.0,8168.0,1243.0,1
1.64493250388771e+18,-1113.0,8381.0,1038.0,1
1.6449325039303375e+18,-1098.0,8263.0,1238.0,1
