timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_RIGHT
1.6461505900454838e+18,3742.0,-6229.0,3474.0,1
1.6461505901245734e+18,3742.0,-6250.0,3457.0,1
1.6461505901359857e+18,3739.0,-6289.0,3459.0,1
1.6461505901833807e+18,3761.0,-6294.0,3402.0,1
1.6461505902496596e+18,3803.0,-6299.0,3333.0,1
1.6461505902925038e+18,3812.0,-6323.0,3312.0,1
1.6461505903359972e+18,3817.0,-6342.0,3298.0,1
1.646150590398177e+18,3825.0,-6334.0,3291.0,1
1.646150590424377e+18,3827.0,-6316.0,3292.0,1
1.6461505905059118e+18,3832.0,-6288.0,3302.0,1
1.646150590541567e+18,3856.0,-6282.0,3284.0,1
1.646150590615355e+18,3878.0,-6272.0,3244.0,1
1.6461505906483822e+18,3878.0,-6301.0,3262.0,1
1.6461505906978634e+18,3767.0,-6454.0,3350.0,1
1.6461505907483026e+18,3792.0,-6271.0,3339.0,1
1.6461505907949553e+18,4036.0,-6468.0,3466.0,1
1.6461505908422502e+18,4033.0,-6582.0,3384.0,1
1.6461505908961695e+18,3611.0,-6474.0,3058.0,1
1.6461505909501123e+18,3708.0,-6427.0,3256.0,1
1.6461505910049403e+18,3644.0,-6405.0,3151.0,1
1.6461505910524198e+18,3752.0,-6492.0,3132.0,1
1.6461505910963395e+18,3779.0,-6567.0,3181.0,1
1.6461505911491013e+18,3909.0,-6318.0,3649.0,1
1.6461505912094482e+18,3814.0,-6245.0,3511.0,1
1.6461505912478508e+18,3689.0,-6401.0,3736.0,1
1.6461505912984722e+18,3786.0,-6270.0,3391.0,1
1.646150591347241e+18,3569.0,-6434.0,3519.0,1
1.6461505914233206e+18,3548.0,-6395.0,3559.0,1
1.6461505914489953e+18,4160.0,-6461.0,3134.0,1
1.6461505915028255e+18,3896.0,-6276.0,3393.0,1
1.646150591546887e+18,3658.0,-6772.0,3106.0,1
1.6461505915973642e+18,3778.0,-6272.0,3274.0,1
1.6461505916485036e+18,3781.0,-6185.0,3735.0,1
1.646150591695109e+18,3911.0,-6570.0,3083.0,1
1.646150591749288e+18,3827.0,-6594.0,2865.0,1
1.6461505918247048e+18,3751.0,-6426.0,3177.0,1
1.6461505918476948e+18,3979.0,-6359.0,3482.0,1
1.6461505918942034e+18,3827.0,-6395.0,3598.0,1
1.6461505919459e+18,3690.0,-6449.0,3015.0,1
1.6461505919943158e+18,3839.0,-6279.0,3877.0,1
1.6461505920559675e+18,3843.0,-6427.0,3853.0,1
1.646150592090038e+18,3849.0,-6604.0,3747.0,1
1.646150592135336e+18,3850.0,-6769.0,3565.0,1
1.6461505922166694e+18,3867.0,-6892.0,3346.0,1
1.6461505922445156e+18,3905.0,-6957.0,3104.0,1
1.646150592318639e+18,3941.0,-6962.0,2886.0,1
1.6461505923717765e+18,3960.0,-6932.0,2689.0,1
1.6461505924046843e+18,3945.0,-6892.0,2523.0,1
1.646150592456786e+18,3915.0,-6846.0,2398.0,1
1.6461505925324165e+18,3809.0,-6710.0,2289.0,1
1.6461505925584957e+18,3751.0,-6633.0,2298.0,1
1.6461505926011784e+18,3558.0,-6464.0,2489.0,1
1.6461505926630147e+18,3576.0,-6538.0,2726.0,1
1.6461505927019676e+18,3618.0,-6530.0,2921.0,1
1.6461505927723523e+18,3859.0,-6209.0,3248.0,1
1.6461505928015258e+18,4121.0,-6536.0,2761.0,1
1.6461505928507172e+18,3983.0,-6333.0,3155.0,1
1.646150592901806e+18,4071.0,-6499.0,3241.0,1
1.6461505929417121e+18,3931.0,-6417.0,2565.0,1
1.6461505930000445e+18,3616.0,-6505.0,3082.0,1
1.6461505930440271e+18,3496.0,-6506.0,3408.0,1
1.6461505931003118e+18,3655.0,-6640.0,3172.0,1
1.6461505931473784e+18,3749.0,-6601.0,3120.0,1
1.6461505931946913e+18,3785.0,-6494.0,3111.0,1
1.6461505932327498e+18,3798.0,-6352.0,3117.0,1
1.646150593271257e+18,3797.0,-6235.0,3133.0,1
1.6461505933510508e+18,3801.0,-6177.0,3173.0,1
1.6461505933876736e+18,3827.0,-6166.0,3214.0,1
1.6461505934551703e+18,4024.0,-6527.0,3263.0,1
1.6461505935094298e+18,3926.0,-6329.0,3382.0,1
1.646150593547421e+18,4032.0,-6542.0,2504.0,1
1.6461505935996836e+18,3936.0,-6342.0,3586.0,1
1.646150593604338e+18,3929.0,-6367.0,3622.0,1
1.6461505936960205e+18,3906.0,-6394.0,3655.0,1
1.64615059374338e+18,3775.0,-6495.0,3004.0,1
1.646150593803061e+18,3643.0,-6465.0,2696.0,1
1.646150593876024e+18,3672.0,-6448.0,2567.0,1
1.6461505939114102e+18,3662.0,-6496.0,2514.0,1
1.6461505939519616e+18,3628.0,-6547.0,2521.0,1
1.6461505940006643e+18,3570.0,-6564.0,2587.0,1
1.6461505940536899e+18,4131.0,-6502.0,2907.0,1
1.6461505941007675e+18,3870.0,-6640.0,3254.0,1
1.646150594139985e+18,3825.0,-6400.0,2939.0,1
1.646150594199493e+18,3914.0,-6344.0,3408.0,1
1.6461505942508398e+18,3792.0,-6253.0,3666.0,1
1.6461505942961142e+18,3981.0,-6296.0,2822.0,1
1.646150594354844e+18,3933.0,-6448.0,3116.0,1
1.6461505943971226e+18,3941.0,-6514.0,3256.0,1
1.6461505944683615e+18,3836.0,-6323.0,2966.0,1
1.6461505944956838e+18,3766.0,-6129.0,3067.0,1
