timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, SCREW_RIGHT
1.6461509501959004e+18,-6546.0,-3603.0,3611.0,1
1.6461509502488522e+18,-6571.0,-4069.0,3713.0,1
1.646150950301017e+18,-6576.0,-3613.0,3674.0,1
1.6461509503464284e+18,-6526.0,-4248.0,3452.0,1
1.6461509504010414e+18,-6318.0,-4082.0,3574.0,1
1.6461509504456435e+18,-6384.0,-4322.0,3676.0,1
1.646150950501161e+18,-6503.0,-3907.0,3801.0,1
1.6461509505467791e+18,-6504.0,-3809.0,4040.0,1
1.6461509506002166e+18,-6549.0,-3835.0,3950.0,1
1.646150950648709e+18,-6317.0,-3661.0,3304.0,1
1.6461509507046792e+18,-6315.0,-4418.0,3420.0,1
1.646150950749039e+18,-6509.0,-4361.0,3607.0,1
1.6461509508019346e+18,-6490.0,-3760.0,3516.0,1
1.6461509508492465e+18,-6552.0,-3697.0,3856.0,1
1.6461509508994345e+18,-6488.0,-3956.0,3776.0,1
1.64615095094888e+18,-6419.0,-3923.0,3714.0,1
1.6461509510045747e+18,-6467.0,-3900.0,3688.0,1
1.6461509510466202e+18,-6502.0,-3883.0,3831.0,1
1.6461509510993367e+18,-6521.0,-3812.0,3773.0,1
1.646150951155104e+18,-6336.0,-4111.0,3587.0,1
1.6461509511999864e+18,-6418.0,-3886.0,3789.0,1
1.6461509512517059e+18,-6449.0,-3928.0,3720.0,1
1.6461509512981796e+18,-6479.0,-3996.0,3737.0,1
1.646150951345847e+18,-6448.0,-4068.0,3715.0,1
1.646150951401035e+18,-6453.0,-3950.0,3717.0,1
1.6461509514538012e+18,-6503.0,-3754.0,3762.0,1
1.6461509514963697e+18,-6502.0,-4053.0,3787.0,1
1.646150951552568e+18,-6546.0,-3824.0,3837.0,1
1.6461509516003512e+18,-6445.0,-3777.0,3820.0,1
1.646150951650773e+18,-6538.0,-3908.0,3871.0,1
1.646150951699143e+18,-6475.0,-3813.0,3710.0,1
1.6461509517517005e+18,-6489.0,-3785.0,3725.0,1
1.6461509517977956e+18,-6515.0,-3808.0,3808.0,1
1.6461509518526876e+18,-6452.0,-3791.0,4159.0,1
1.646150951901691e+18,-6458.0,-3799.0,3759.0,1
1.6461509519489052e+18,-6440.0,-3924.0,3702.0,1
1.6461509519981092e+18,-6509.0,-3879.0,3857.0,1
1.646150952053148e+18,-6396.0,-3921.0,3836.0,1
1.6461509520999452e+18,-6492.0,-3856.0,3964.0,1
1.6461509521533056e+18,-6499.0,-3855.0,3774.0,1
1.646150952197165e+18,-6574.0,-3513.0,3951.0,1
1.6461509522524308e+18,-6509.0,-3705.0,3997.0,1
1.6461509523001375e+18,-6468.0,-3842.0,4081.0,1
1.64615095235294e+18,-6454.0,-3805.0,3902.0,1
1.646150952397338e+18,-6502.0,-3506.0,4078.0,1
