timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, DELIVERY_BIMANUAL
1.6455446873365143e+18,1594.0,835.0,8499.0,1
1.645544687384694e+18,3445.0,1635.0,6457.0,1
1.6455446874358858e+18,2204.0,797.0,6806.0,1
1.6455446874864061e+18,1213.0,343.0,8663.0,1
1.6455446875386657e+18,449.0,1932.0,9214.0,1
1.6455446875850483e+18,579.0,2010.0,9457.0,1
1.64554468763634e+18,561.0,2797.0,8274.0,1
1.64554468768435e+18,628.0,2609.0,8673.0,1
1.6455446877293563e+18,929.0,2860.0,8326.0,1
1.6455446877835635e+18,1402.0,2168.0,7625.0,1
1.6455446878374756e+18,1065.0,2107.0,8014.0,1
1.6455446878839455e+18,1098.0,2635.0,8817.0,1
1.645544687936541e+18,1294.0,2380.0,8709.0,1
1.6455446879832794e+18,1415.0,2260.0,8230.0,1
1.6455446880374339e+18,1219.0,324.0,8530.0,1
1.6455446880855995e+18,978.0,1292.0,7679.0,1
1.645544688139504e+18,1055.0,719.0,7975.0,1
1.6455446881837555e+18,1144.0,461.0,7711.0,1
1.6455446882415158e+18,1120.0,-66.0,8363.0,1
1.6455446882880868e+18,761.0,-1624.0,8612.0,1
1.6455446883294328e+18,1077.0,192.0,8315.0,1
1.6455446883823662e+18,1327.0,593.0,8191.0,1
1.6455446884299164e+18,952.0,927.0,8222.0,1
1.6455446884839836e+18,948.0,40.0,8331.0,1
1.64554468852754e+18,1196.0,1255.0,8268.0,1
1.64554468857028e+18,1268.0,1781.0,8938.0,1
1.6455446886439987e+18,1251.0,1925.0,8675.0,1
1.645544688706816e+18,1171.0,2559.0,8438.0,1
1.6455446887285844e+18,1089.0,2893.0,8329.0,1
1.6455446887695104e+18,1052.0,2774.0,8381.0,1
1.645544688829829e+18,909.0,3826.0,8498.0,1
1.6455446888880187e+18,384.0,1720.0,8435.0,1
1.645544688938708e+18,652.0,789.0,8590.0,1
1.6455446889896333e+18,926.0,1015.0,8194.0,1
1.6455446890386834e+18,879.0,-150.0,7221.0,1
1.64554468908914e+18,359.0,-594.0,8604.0,1
1.6455446891382426e+18,888.0,404.0,8255.0,1
1.6455446891876977e+18,1204.0,-1132.0,8636.0,1
1.6455446892395622e+18,982.0,-1189.0,8171.0,1
1.645544689289991e+18,1221.0,-1381.0,7953.0,1
1.6455446893385078e+18,1654.0,-2827.0,7220.0,1
1.6455446893891459e+18,853.0,-4768.0,7432.0,1
1.645544689447192e+18,-851.0,-5986.0,7486.0,1
1.6455446894889178e+18,-2070.0,-6130.0,6632.0,1
1.6455446895408374e+18,2528.0,-2986.0,5006.0,1
1.6455446895892431e+18,4983.0,2048.0,5309.0,1
1.6455446896388163e+18,4639.0,5700.0,6705.0,1
1.6455446896900436e+18,3244.0,2025.0,7827.0,1
1.6455446897269386e+18,2288.0,747.0,6228.0,1
