timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_LEFT
1.6449324815614254e+18,-1802.0,-6411.0,-2503.0,1
1.6449324816058045e+18,-4567.0,-7858.0,-2182.0,1
1.6449324816613532e+18,-4735.0,-8735.0,-1022.0,1
1.6449324817036695e+18,-3949.0,-6554.0,176.0,1
1.6449324817590495e+18,608.0,-4580.0,-1727.0,1
1.6449324818080428e+18,2507.0,-8109.0,-2544.0,1
1.644932481859291e+18,2386.0,-9165.0,-2390.0,1
1.6449324819071442e+18,938.0,-7647.0,-2418.0,1
1.6449324819579036e+18,-1476.0,-9789.0,-4364.0,1
1.6449324820072e+18,-2046.0,-10468.0,-5708.0,1
1.6449324820588347e+18,-4504.0,-10806.0,-4734.0,1
1.6449324821062513e+18,-5113.0,-8121.0,-3357.0,1
1.6449324821573281e+18,-5613.0,-7133.0,-1055.0,1
1.644932482209642e+18,-3755.0,-3892.0,1840.0,1
1.644932482290361e+18,-3268.0,-3752.0,1896.0,1
1.644932482302028e+18,-2364.0,-3755.0,1871.0,1
1.6449324823447432e+18,-1110.0,-7525.0,474.0,1
1.6449324824145774e+18,-1131.0,-8369.0,171.0,1
1.644932482459442e+18,-57.0,-5268.0,769.0,1
1.6449324825030162e+18,1642.0,-5526.0,7229.0,1
1.6449324825616136e+18,492.0,-7235.0,6403.0,1
1.6449324826107233e+18,50.0,-9557.0,4896.0,1
1.6449324826592182e+18,-567.0,-12124.0,2119.0,1
1.644932482707532e+18,-1244.0,-8052.0,2011.0,1
1.6449324827492552e+18,-1923.0,-9721.0,239.0,1
1.6449324828092623e+18,-3092.0,-11220.0,-1473.0,1
1.6449324828608484e+18,-2738.0,-7950.0,-2369.0,1
1.6449324829075756e+18,-3649.0,-11255.0,-2723.0,1
1.6449324829605204e+18,-4291.0,-8932.0,-3455.0,1
1.644932483027507e+18,-4974.0,-8419.0,-2718.0,1
1.6449324830808612e+18,-5017.0,-8140.0,-2505.0,1
