timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_RIGHT
1.6450220217210834e+18,2632.0,7547.0,2450.0,1
1.645022021773457e+18,2718.0,8011.0,2669.0,1
1.645022021818535e+18,3137.0,7736.0,2647.0,1
1.6450220218762916e+18,3140.0,8111.0,3536.0,1
1.6450220219228252e+18,3068.0,6746.0,4336.0,1
1.645022021971429e+18,3224.0,4378.0,4017.0,1
1.6450220220212938e+18,2363.0,5324.0,4285.0,1
1.6450220220707471e+18,1653.0,6737.0,3821.0,1
1.645022022118618e+18,1583.0,6500.0,2672.0,1
1.6450220221731167e+18,935.0,7858.0,2047.0,1
1.645022022220735e+18,697.0,8805.0,2138.0,1
1.6450220222734003e+18,1003.0,7588.0,2388.0,1
1.6450220223218043e+18,264.0,9691.0,1070.0,1
1.6450220223710508e+18,-419.0,7684.0,2184.0,1
1.6450220224189169e+18,-636.0,8486.0,1568.0,1
1.6450220224738255e+18,713.0,9229.0,1716.0,1
1.6450220225218058e+18,683.0,8904.0,2498.0,1
1.6450220225717844e+18,-475.0,8172.0,4111.0,1
1.6450220226177446e+18,-585.0,7715.0,5003.0,1
1.6450220226734756e+18,40.0,7255.0,4233.0,1
1.645022022722331e+18,579.0,9154.0,3379.0,1
1.6450220227679022e+18,1363.0,8893.0,2921.0,1
1.6450220228241633e+18,1568.0,8555.0,2447.0,1
1.6450220228712556e+18,1474.0,8326.0,2435.0,1
1.6450220229176246e+18,1688.0,8316.0,1727.0,1
1.6450220229738342e+18,1514.0,8382.0,1622.0,1
1.6450220230209183e+18,1858.0,8105.0,1838.0,1
1.6450220230737597e+18,2134.0,7774.0,1889.0,1
1.6450220231199946e+18,2167.0,8000.0,2075.0,1
1.6450220231743913e+18,2357.0,7584.0,1971.0,1
1.6450220232265684e+18,2151.0,7165.0,2056.0,1
1.6450220232731628e+18,1940.0,6457.0,1766.0,1
1.6450220233212137e+18,1318.0,7342.0,1450.0,1
1.6450220233713357e+18,815.0,7622.0,1923.0,1
1.645022023424668e+18,405.0,8042.0,1684.0,1
1.6450220234731436e+18,89.0,8334.0,1937.0,1
1.645022023522632e+18,172.0,8641.0,2222.0,1
1.6450220235735437e+18,268.0,8387.0,2397.0,1
1.645022023623022e+18,462.0,8820.0,2318.0,1
1.6450220236695695e+18,607.0,9138.0,2513.0,1
1.64502202372423e+18,774.0,8617.0,2622.0,1
1.645022023773723e+18,906.0,8523.0,2823.0,1
1.6450220238230392e+18,1211.0,9459.0,2376.0,1
1.6450220238747057e+18,1800.0,8261.0,2306.0,1
1.6450220239242632e+18,1706.0,8656.0,1743.0,1
1.645022023969851e+18,1761.0,8411.0,1462.0,1
1.6450220240239455e+18,2026.0,8295.0,1608.0,1
1.6450220240691948e+18,2221.0,7317.0,1740.0,1
1.6450220241236616e+18,1950.0,7039.0,1397.0,1
1.6450220241736453e+18,1983.0,7737.0,930.0,1
1.6450220242222252e+18,1642.0,6103.0,1348.0,1
1.6450220242740099e+18,651.0,7265.0,798.0,1
1.6450220243231135e+18,-11.0,8576.0,807.0,1
1.6450220243690324e+18,-100.0,8874.0,1221.0,1
1.6450220244274363e+18,97.0,8967.0,1617.0,1
1.6450220244694769e+18,362.0,9405.0,1610.0,1
1.6450220245236296e+18,623.0,9266.0,2227.0,1
1.6450220245705894e+18,1362.0,9358.0,1860.0,1
1.6450220246221952e+18,1277.0,8853.0,2697.0,1
1.6450220246694405e+18,1609.0,8876.0,2018.0,1
1.6450220247272712e+18,1843.0,8976.0,1583.0,1
1.6450220247705894e+18,2032.0,8041.0,1634.0,1
1.6450220248224156e+18,2090.0,7398.0,1078.0,1
1.6450220248784282e+18,1949.0,6003.0,695.0,1
1.6450220249230876e+18,1709.0,7026.0,379.0,1
1.6450220249755382e+18,1016.0,5919.0,817.0,1
1.6450220250243018e+18,-216.0,8072.0,666.0,1
1.645022025076636e+18,-644.0,9277.0,982.0,1
1.6450220251196475e+18,-684.0,9709.0,1634.0,1
1.6450220251794893e+18,1.0,10221.0,2511.0,1
1.645022025224106e+18,797.0,8544.0,3239.0,1
1.645022025276376e+18,1306.0,9186.0,2858.0,1
1.645022025323296e+18,1376.0,8315.0,2802.0,1
1.6450220253792786e+18,1621.0,7801.0,2476.0,1
1.6450220254244933e+18,1975.0,8799.0,2446.0,1
1.6450220254774828e+18,2313.0,8507.0,2853.0,1
1.6450220255224138e+18,2495.0,7249.0,2701.0,1
1.6450220255774177e+18,2336.0,6222.0,2341.0,1
1.6450220256222715e+18,2041.0,5406.0,2059.0,1
1.645022025677273e+18,1476.0,6017.0,1491.0,1
1.645022025724259e+18,661.0,6728.0,1123.0,1
1.6450220257727964e+18,-384.0,7916.0,743.0,1
1.6450220258234998e+18,-920.0,9600.0,1059.0,1
1.6450220258741138e+18,-610.0,10126.0,1270.0,1
1.6450220259238e+18,-355.0,9655.0,1823.0,1
1.64502202597891e+18,22.0,9606.0,2196.0,1
1.6450220260233564e+18,823.0,9548.0,2238.0,1
1.6450220260777185e+18,1610.0,9023.0,2812.0,1
1.645022026124259e+18,1989.0,8220.0,2459.0,1
1.6450220261783567e+18,2310.0,9005.0,1763.0,1
1.6450220262231027e+18,2488.0,8488.0,1629.0,1
1.64502202627928e+18,2443.0,8981.0,1177.0,1
1.6450220263229407e+18,2276.0,6101.0,1544.0,1
1.645022026378212e+18,1788.0,6616.0,885.0,1
1.645022026426917e+18,1619.0,6579.0,697.0,1
1.645022026478035e+18,934.0,5763.0,213.0,1
1.6450220265295004e+18,-37.0,8159.0,-906.0,1
1.6450220265729213e+18,-488.0,8544.0,-669.0,1
1.645022026627645e+18,-586.0,9231.0,-151.0,1
1.6450220266776212e+18,-906.0,10072.0,-141.0,1
1.645022026727878e+18,-180.0,10418.0,371.0,1
1.645022026778154e+18,493.0,10100.0,1098.0,1
1.6450220268290399e+18,918.0,9620.0,1444.0,1
1.6450220268789422e+18,1864.0,9914.0,1976.0,1
1.6450220269288924e+18,2466.0,9282.0,1470.0,1
1.6450220269756032e+18,2464.0,8638.0,1285.0,1
1.6450220270258644e+18,2716.0,7710.0,1074.0,1
1.6450220270802066e+18,2267.0,6627.0,1045.0,1
