timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6463912048382477e+18,401.0,4499.0,-6318.0,frame_11907.jpeg
1.6463912048907282e+18,65.0,5193.0,-5699.0,frame_11908.jpeg
1.646391204937321e+18,1592.0,5730.0,-7503.0,frame_11909.jpeg
1.6463906683719683e+18,-2157.0,1981.0,-7195.0,frame_1191.jpeg
1.6463912049931845e+18,1718.0,5980.0,-6286.0,frame_11910.jpeg
1.6463912050404488e+18,3965.0,5131.0,-5726.0,frame_11911.jpeg
1.6463912050933294e+18,3229.0,3323.0,-5290.0,frame_11912.jpeg
1.6463912051373517e+18,972.0,5319.0,-6204.0,frame_11913.jpeg
1.6463912051884687e+18,1371.0,5368.0,-6019.0,frame_11914.jpeg
1.6463912052370355e+18,2833.0,4988.0,-6479.0,frame_11915.jpeg
1.6463912052934292e+18,1135.0,6557.0,-6246.0,frame_11916.jpeg
1.6463912053358277e+18,966.0,6496.0,-6354.0,frame_11917.jpeg
1.6463912053908416e+18,2479.0,4006.0,-5364.0,frame_11918.jpeg
1.6463912054379796e+18,3123.0,5425.0,-6939.0,frame_11919.jpeg
1.646390668415218e+18,-1753.0,2004.0,-7971.0,frame_1192.jpeg
1.6463912054902986e+18,2733.0,3363.0,-5817.0,frame_11920.jpeg
1.6463912055414894e+18,1742.0,4536.0,-6533.0,frame_11921.jpeg
1.6463912055891592e+18,2138.0,5369.0,-6405.0,frame_11922.jpeg
1.6463912056427087e+18,2926.0,5983.0,-5461.0,frame_11923.jpeg
1.646391205691886e+18,2488.0,5851.0,-5949.0,frame_11924.jpeg
1.646391205743865e+18,2873.0,3760.0,-5772.0,frame_11925.jpeg
1.6463912057900262e+18,2017.0,5035.0,-6536.0,frame_11926.jpeg
1.6463912058409605e+18,2714.0,4418.0,-6299.0,frame_11927.jpeg
1.6463912058923272e+18,2047.0,4704.0,-6616.0,frame_11928.jpeg
1.6463912059443717e+18,1801.0,5123.0,-6556.0,frame_11929.jpeg
1.646390668471996e+18,-1563.0,1822.0,-7917.0,frame_1193.jpeg
1.6463912059873428e+18,2980.0,6030.0,-5368.0,frame_11930.jpeg
1.64639120604383e+18,1829.0,6642.0,-5774.0,frame_11931.jpeg
1.64639120608783e+18,3085.0,4875.0,-6241.0,frame_11932.jpeg
1.6463912061409544e+18,3344.0,5601.0,-5634.0,frame_11933.jpeg
1.646391206190356e+18,2645.0,4185.0,-6059.0,frame_11934.jpeg
1.6463912062431396e+18,2671.0,4620.0,-6701.0,frame_11935.jpeg
