timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.6463941919659167e+18,7643.0,2589.0,2028.0,frame_6437.jpeg
1.6463941920153034e+18,7694.0,2336.0,2683.0,frame_6438.jpeg
1.6463941920653765e+18,8236.0,2319.0,2537.0,frame_6439.jpeg
1.646394192113843e+18,7287.0,2794.0,2595.0,frame_6440.jpeg
1.6463941921659707e+18,7394.0,2706.0,2394.0,frame_6441.jpeg
1.6463941922142656e+18,7170.0,2239.0,2378.0,frame_6442.jpeg
1.6463941922626125e+18,7272.0,2465.0,2439.0,frame_6443.jpeg
1.6463941923099528e+18,7657.0,2481.0,2466.0,frame_6444.jpeg
1.6463941923684314e+18,7203.0,2163.0,2557.0,frame_6445.jpeg
1.6463941924150328e+18,7328.0,2966.0,2804.0,frame_6446.jpeg
1.6463941924681536e+18,7306.0,2913.0,2611.0,frame_6447.jpeg
1.6463941925101002e+18,7036.0,2651.0,2692.0,frame_6448.jpeg
1.6463941925645885e+18,7479.0,2633.0,2466.0,frame_6449.jpeg
1.6463941926193428e+18,7054.0,1859.0,1322.0,frame_6450.jpeg
1.6463941926632904e+18,7864.0,2501.0,1002.0,frame_6451.jpeg
1.646394192711611e+18,7880.0,2461.0,2079.0,frame_6452.jpeg
1.646394192764914e+18,7556.0,2367.0,2466.0,frame_6453.jpeg
1.646394192817668e+18,7460.0,2363.0,2274.0,frame_6454.jpeg
1.6463941928598766e+18,7506.0,2493.0,2134.0,frame_6455.jpeg
1.6463941929106778e+18,7584.0,2396.0,2036.0,frame_6456.jpeg
1.6463941929517545e+18,7573.0,2313.0,2004.0,frame_6457.jpeg
1.6463941930209096e+18,7376.0,2145.0,1955.0,frame_6458.jpeg
1.6463941930801236e+18,7334.0,2140.0,1955.0,frame_6459.jpeg
1.6463941931214674e+18,7409.0,2156.0,1999.0,frame_6460.jpeg
1.646394193180524e+18,7558.0,2332.0,2161.0,frame_6461.jpeg
1.6463941932131863e+18,7593.0,2428.0,2219.0,frame_6462.jpeg
1.6463941932618977e+18,7405.0,2577.0,2143.0,frame_6463.jpeg
