timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_RIGHT
1.6449326503680445e+18,-3240.0,-1544.0,-1949.0,1
1.6449326504181197e+18,-5681.0,5155.0,-1555.0,1
1.644932650470787e+18,-7843.0,6916.0,-2998.0,1
1.644932650528332e+18,-7940.0,7191.0,-3559.0,1
1.644932650571099e+18,-2623.0,3791.0,-4038.0,1
1.6449326506190177e+18,-5800.0,7925.0,950.0,1
1.6449326506737234e+18,-8893.0,8343.0,-455.0,1
1.644932650719445e+18,-11055.0,7273.0,2941.0,1
1.6449326507697408e+18,-8140.0,6794.0,2259.0,1
1.6449326508199122e+18,-8879.0,7015.0,-344.0,1
1.6449326508678643e+18,-7679.0,6717.0,-962.0,1
1.6449326509208865e+18,-4951.0,3981.0,965.0,1
1.6449326509691244e+18,-5463.0,2424.0,1276.0,1
1.6449326510160724e+18,-2671.0,1312.0,1833.0,1
1.644932651070311e+18,-6265.0,2917.0,4687.0,1
1.644932651120962e+18,-9437.0,3791.0,1837.0,1
1.6449326511695265e+18,-9810.0,2630.0,-660.0,1
1.644932651216374e+18,-4899.0,91.0,-1616.0,1
1.644932651269115e+18,-1768.0,-1182.0,-4082.0,1
1.6449326513205606e+18,-3118.0,-3361.0,-7411.0,1
1.6449326513692337e+18,-3654.0,-3574.0,-7808.0,1
1.644932651416535e+18,-3579.0,-6860.0,-7895.0,1
1.644932651463101e+18,-2836.0,-5452.0,-6095.0,1
1.6449326515216778e+18,-2506.0,-4542.0,-4990.0,1
1.644932651569019e+18,-6121.0,1652.0,-1511.0,1
1.6449326516201037e+18,-5671.0,3803.0,-916.0,1
1.644932651670146e+18,-8790.0,7415.0,-1231.0,1
1.6449326517251738e+18,-9479.0,6006.0,-3258.0,1
1.644932651770847e+18,-2628.0,2819.0,-5397.0,1
1.6449326518225068e+18,-8720.0,3795.0,-2712.0,1
1.6449326518726907e+18,-8957.0,1588.0,-2459.0,1
1.644932651918361e+18,-8411.0,919.0,-2503.0,1
1.6449326519722652e+18,-10835.0,3041.0,-2748.0,1
1.6449326520268209e+18,-10345.0,3960.0,-2485.0,1
1.6449326520691812e+18,-11014.0,4142.0,-2962.0,1
1.644932652120995e+18,-7438.0,1809.0,-117.0,1
1.644932652174391e+18,-4192.0,1030.0,338.0,1
1.6449326522260547e+18,-3400.0,1409.0,398.0,1
1.6449326522698191e+18,-5758.0,409.0,-1802.0,1
1.6449326523205857e+18,-6621.0,-1351.0,-1780.0,1
1.6449326523696801e+18,-11124.0,-3013.0,-4762.0,1
1.6449326524218132e+18,-5941.0,-3215.0,-4430.0,1
1.6449326524771756e+18,-5029.0,-2757.0,-3973.0,1
1.6449326525191532e+18,-7133.0,802.0,-2161.0,1
1.6449326525646515e+18,-6759.0,1248.0,-1906.0,1
1.6449326526217467e+18,-6428.0,1821.0,-2082.0,1
1.6449326526730473e+18,-7241.0,5709.0,-751.0,1
1.6449326527245944e+18,-7555.0,5124.0,-3751.0,1
1.6449326527691407e+18,-4852.0,1673.0,-6860.0,1
1.6449326528203208e+18,-8219.0,2141.0,-4407.0,1
1.644932652871964e+18,-6916.0,2977.0,-1728.0,1
1.644932652915611e+18,-8206.0,2454.0,-2296.0,1
1.6449326529974984e+18,-8630.0,2456.0,-2620.0,1
1.6449326530451412e+18,-9015.0,2459.0,-2895.0,1
1.6449326530715535e+18,-11162.0,2450.0,-3656.0,1
1.6449326531199793e+18,-10331.0,1263.0,-2582.0,1
1.6449326531693765e+18,-5984.0,2789.0,26.0,1
1.6449326532212547e+18,-4478.0,2201.0,-620.0,1
1.6449326532711562e+18,-2775.0,1825.0,-1051.0,1
1.644932653325717e+18,-7857.0,1254.0,-2408.0,1
1.6449326533744205e+18,-9034.0,-1916.0,-4621.0,1
