timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_LEFT
1.6450220566175022e+18,-5722.0,733.0,-6047.0,1
1.6450220566609372e+18,-5718.0,878.0,-5910.0,1
1.645022056713267e+18,-5692.0,833.0,-5945.0,1
1.6450220567618468e+18,-5630.0,688.0,-6050.0,1
1.6450220568174892e+18,-5762.0,845.0,-5917.0,1
1.6450220568667297e+18,-5631.0,717.0,-5904.0,1
1.6450220569120916e+18,-5698.0,546.0,-6196.0,1
1.6450220569631562e+18,-5705.0,643.0,-6010.0,1
1.645022057018506e+18,-5661.0,602.0,-6003.0,1
1.6450220570686546e+18,-5671.0,490.0,-6165.0,1
1.645022057120277e+18,-5672.0,601.0,-6010.0,1
1.6450220571632253e+18,-5688.0,662.0,-6073.0,1
1.6450220572212337e+18,-5681.0,639.0,-6032.0,1
1.645022057261801e+18,-5623.0,705.0,-5928.0,1
1.645022057318511e+18,-5704.0,623.0,-6038.0,1
1.6450220573625226e+18,-5594.0,682.0,-6102.0,1
1.6450220574166774e+18,-5703.0,651.0,-5975.0,1
1.6450220574645921e+18,-5636.0,596.0,-6067.0,1
1.6450220575178985e+18,-5684.0,720.0,-5987.0,1
1.6450220575625393e+18,-5652.0,757.0,-5987.0,1
1.6450220576186627e+18,-5737.0,659.0,-5925.0,1
1.6450220576632284e+18,-5705.0,639.0,-5946.0,1
1.6450220577171008e+18,-5603.0,604.0,-6126.0,1
1.6450220577629947e+18,-5643.0,519.0,-6077.0,1
1.6450220578171976e+18,-5652.0,467.0,-6113.0,1
1.6450220578677711e+18,-5656.0,560.0,-6081.0,1
1.6450220579201324e+18,-5646.0,603.0,-6068.0,1
1.6450220579687598e+18,-5694.0,601.0,-6044.0,1
1.64502205801381e+18,-5708.0,602.0,-5984.0,1
1.6450220580675318e+18,-5587.0,729.0,-5999.0,1
1.6450220581149847e+18,-5692.0,702.0,-6041.0,1
1.6450220581682941e+18,-5657.0,646.0,-5935.0,1
1.6450220582173012e+18,-5672.0,665.0,-6032.0,1
1.6450220582690025e+18,-5617.0,641.0,-6087.0,1
1.645022058317939e+18,-5631.0,648.0,-6027.0,1
1.6450220583705457e+18,-5687.0,586.0,-5989.0,1
1.6450220584121756e+18,-5606.0,585.0,-6016.0,1
1.6450220584684805e+18,-5681.0,543.0,-6039.0,1
1.6450220585183434e+18,-5552.0,374.0,-6196.0,1
1.6450220585695555e+18,-5548.0,363.0,-6230.0,1
1.6450220586155968e+18,-5615.0,422.0,-6127.0,1
1.6450220586722947e+18,-5659.0,404.0,-6072.0,1
1.64502205871807e+18,-5654.0,415.0,-6170.0,1
1.6450220587664425e+18,-5565.0,500.0,-6076.0,1
1.6450220588179167e+18,-5624.0,528.0,-6042.0,1
1.645022058871043e+18,-5617.0,491.0,-6028.0,1
1.645022058915191e+18,-5589.0,439.0,-6116.0,1
1.645022058966922e+18,-5565.0,375.0,-6230.0,1
1.6450220590183606e+18,-5560.0,469.0,-6140.0,1
1.645022059065994e+18,-5643.0,509.0,-6055.0,1
1.6450220591155942e+18,-5559.0,526.0,-6100.0,1
1.6450220591665208e+18,-5620.0,545.0,-6060.0,1
1.6450220592208955e+18,-5586.0,487.0,-5994.0,1
1.6450220592676419e+18,-5558.0,363.0,-6221.0,1
1.6450220593152896e+18,-5584.0,377.0,-6207.0,1
1.645022059369413e+18,-5524.0,371.0,-6132.0,1
1.6450220594203174e+18,-5615.0,315.0,-6223.0,1
1.6450220594685363e+18,-5578.0,402.0,-6069.0,1
1.6450220595207619e+18,-5542.0,374.0,-6117.0,1
1.64502205957031e+18,-5600.0,271.0,-6226.0,1
1.6450220596208863e+18,-5536.0,335.0,-6190.0,1
1.6450220596707758e+18,-5558.0,388.0,-6179.0,1
1.6450220597211151e+18,-5561.0,421.0,-6155.0,1
1.6450220597698614e+18,-5588.0,488.0,-6088.0,1
1.6450220598182945e+18,-5615.0,471.0,-6068.0,1
1.645022059868305e+18,-5509.0,448.0,-6120.0,1
1.645022059920176e+18,-5632.0,485.0,-6169.0,1
1.6450220599706778e+18,-5548.0,510.0,-6100.0,1
1.6450220600149578e+18,-5555.0,497.0,-6074.0,1
1.645022060070044e+18,-5618.0,492.0,-6129.0,1
1.6450220601218593e+18,-5513.0,494.0,-6028.0,1
1.6450220601718234e+18,-5543.0,354.0,-6162.0,1
1.6450220602213504e+18,-5570.0,338.0,-6251.0,1
1.645022060271275e+18,-5574.0,419.0,-6059.0,1
1.645022060321144e+18,-5493.0,203.0,-6235.0,1
1.6450220603662666e+18,-5556.0,165.0,-6313.0,1
1.6450220604204639e+18,-5539.0,312.0,-6133.0,1
1.6450220604695176e+18,-5550.0,213.0,-6176.0,1
1.6450220605213832e+18,-5542.0,192.0,-6212.0,1
1.645022060566493e+18,-5554.0,301.0,-6234.0,1
1.6450220606217656e+18,-5553.0,340.0,-6146.0,1
1.6450220606666079e+18,-5524.0,333.0,-6105.0,1
1.6450220607226222e+18,-5565.0,313.0,-6209.0,1
1.645022060768258e+18,-5509.0,369.0,-6161.0,1
1.645022060820938e+18,-5541.0,408.0,-6122.0,1
